Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
GPS,32.1680528500,34.8101889100,34.858154296875,9.41,3.7900925,207.4,1713027278000,0.7652179,1.0998092,338491693340028,2.5,0,,,
FLP,32.1680543000,34.8101906000,35.994774981086124,9.404869,3.9,206.99908,1713027277553,0.7652179,1.0998092,338491693340028,2.073361,0,,,
NLP,32.1679379000,34.8093093000,38.30000305175781,,50.096,,1713027286284,,,338500424000000,4.827365,0,,,
FLP,32.1675587000,34.8096540000,35.64385820956441,9.283273,50.096,207.6437,1713027286284,1.5,45.0,338500424000000,2.0973215,0,,,
GPS,32.1679229400,34.8094739900,33.68206787109375,6.11,3.7900925,283.8,1713027291000,0.8865537,1.7081357,338504699597992,2.5,0,,,
FLP,32.1679215000,34.8094738000,35.58992734563406,6.1050787,26.998,283.02866,1713027290559,0.8865537,1.7081357,338504699597992,2.1275997,0,,,
GPS,32.1679426600,34.8094081600,33.34881591796875,6.35,3.7900925,282.5,1713027292000,1.0946336,1.7935541,338505692548824,2.5,0,,,
FLP,32.1679404000,34.8094087000,35.0241373907225,6.235969,3.9,282.2839,1713027291552,1.0946336,1.7935541,338505692548824,2.1296403,0,,,
NLP,32.1679321000,34.8090825000,38.30000305175781,,28.1,,1713027292180,,,338506320000000,22.021286,0,,,
FLP,32.1679471000,34.8093741000,34.87554805796447,6.2232924,8.083,282.30728,1713027292179,1.5,45.0,338506320000000,2.0792258,0,,,
GPS,32.1679537700,34.8093365300,33.693603515625,6.32,3.7900925,280.8,1713027293000,0.82401764,1.7990729,338506694228095,2.5,0,,,
FLP,32.1679529000,34.8093403000,34.761868527030956,6.2833066,7.037,280.22012,1713027292554,0.82401764,1.7990729,338506694228095,2.072764,0,,,
GPS,32.1679629500,34.8092653900,33.34576416015625,6.79,3.7900925,279.5,1713027294000,1.158424,1.890482,338507696460334,2.5,0,,,
FLP,32.1679630000,34.8092676000,35.107827590349395,6.5123787,6.387,279.4365,1713027293555,1.158424,1.890482,338507696460334,2.0958004,0,,,
GPS,32.1679681400,34.8092048000,33.55499267578125,6.24,3.7900925,279.5,1713027295000,0.8053578,1.9803693,338508694082417,2.5,0,,,
FLP,32.1679693000,34.8092036000,35.07224378645646,6.3266783,5.973,278.94153,1713027294554,0.8053578,1.9803693,338508694082417,2.0845306,0,,,
GPS,32.1679745000,34.8091423400,33.861572265625,6.09,3.7900925,281.5,1713027296000,0.7592473,1.6315092,338509694180281,2.5,0,,,
FLP,32.1679756000,34.8091411000,35.411869354264034,6.1781306,5.677,280.72784,1713027295553,0.7592473,1.6315092,338509694180281,2.0981324,0,,,
GPS,32.1679822000,34.8090844900,33.944091796875,5.82,3.7900925,282.5,1713027297000,0.72456205,1.5708028,338510694208667,2.5,0,,,
FLP,32.1679833000,34.8090826000,34.57813260674504,5.9403553,5.973,281.71512,1713027296553,0.72456205,1.5708028,338510694208667,2.0731533,0,,,
GPS,32.1679944200,34.8090242800,34.265380859375,5.51,3.7900925,282.7,1713027298000,0.7449584,1.2629062,338511688773771,2.5,0,,,
FLP,32.1679943000,34.8090237000,34.532079417368344,5.657844,3.881,281.71518,1713027297548,0.7449584,1.2629062,338511688773771,2.0731716,0,,,
GPS,32.1680038700,34.8089688100,34.42584228515625,5.31,3.7900925,282.2,1713027299000,1.1056242,1.3355261,338512691962520,2.5,0,,,
FLP,32.1680041000,34.8089678000,34.728726380117415,5.4930215,3.881,281.63763,1713027298551,1.1056242,1.3355261,338512691962520,2.0894082,0,,,
